threshold,micro_f1,macro_f1,predicted_labels_per_sample
0.05,0.6604443023813329,0.5648890772051702,4.341007194244605
0.1,0.6925709396834451,0.5740306345765964,3.565707434052758
0.15,0.7068060850855007,0.5746987508566219,3.19136690647482
0.2,0.7100856850876504,0.5594010511754599,2.9398081534772182
0.25,0.7099959530554432,0.543599631896549,2.7642685851318944
0.3,0.7073342444195967,0.5283970887461592,2.629256594724221
0.35,0.7067675529441603,0.5172832808759561,2.5117505995203837
0.4,0.7032834794567646,0.5053802963446625,2.418465227817746
0.45,0.7001092418614813,0.49359788178354463,2.3266187050359712
0.5,0.6954628271785984,0.4809906499327724,2.2350119904076737
0.55,0.6890946037480243,0.46496682668569944,2.1491606714628295
0.6,0.682624845233182,0.45002179134349984,2.06810551558753
0.65,0.6744597615499255,0.43124888428527053,1.9877697841726618
0.7,0.6642027955460791,0.408286443205723,1.8997601918465228
0.75,0.6496470360700126,0.3815887958967622,1.7983213429256595
0.8,0.6346058991812173,0.35833633807520626,1.7004796163069544
0.85,0.613829357056207,0.32423661158175343,1.5829736211031176
0.9,0.5821463974539574,0.27715917824437175,1.435011990407674
0.95,0.5204890945142102,0.20131550378787202,1.1925659472422063
