class_index,label,support,predicted_positives,average_precision,precision,recall,f1
22,Burping_and_eructation,33,28,0.9852027352027353,1.0,0.8484848484848485,0.9180327868852459
28,Cat,38,35,0.9827283556543577,0.9428571428571428,0.868421052631579,0.9041095890410958
171,Thunder,66,60,0.9817001903861513,0.9833333333333333,0.8939393939393939,0.9365079365079365
172,Thunderstorm,66,62,0.9800993730576466,0.9838709677419355,0.9242424242424242,0.953125
175,Toilet_flush,31,28,0.9616348971562194,0.9642857142857143,0.8709677419354839,0.9152542372881356
121,Musical_instrument,1154,1112,0.9613800503682325,0.9379496402877698,0.9038128249566725,0.9205648720211828
120,Music,1157,1114,0.9602306165853346,0.9389587073608617,0.9040622299049266,0.9211800968736239
131,Purr,13,11,0.9553349875930521,1.0,0.8461538461538461,0.9166666666666666
157,Sneeze,10,6,0.9540404040404039,1.0,0.6,0.75
116,Meow,26,23,0.9445521021938026,0.9130434782608695,0.8076923076923077,0.8571428571428571
122,Ocean,30,23,0.94375144019705,0.9565217391304348,0.7333333333333333,0.8301886792452831
72,Explosion,148,156,0.9318257379927889,0.8653846153846154,0.9121621621621622,0.8881578947368421
32,Chicken_and_rooster,21,15,0.9311174740752206,1.0,0.7142857142857143,0.8333333333333334
125,Percussion,421,359,0.9114231439560859,0.9080779944289693,0.7743467933491687,0.8358974358974359
34,Chime,13,14,0.9101362312900774,0.9285714285714286,1.0,0.9629629629629629
145,Screaming,40,30,0.9077768236952966,0.9333333333333333,0.7,0.8
100,Human_group_actions,141,134,0.9076384954706114,0.8731343283582089,0.8297872340425532,0.850909090909091
127,Plucked_string_instrument,229,235,0.907398299463612,0.8425531914893617,0.8646288209606987,0.853448275862069
194,Wind_chime,11,6,0.9059523809523811,0.8333333333333334,0.45454545454545453,0.5882352941176471
60,Domestic_animals_and_pets,109,108,0.9014160901174546,0.8518518518518519,0.8440366972477065,0.847926267281106
7,Bark,62,36,0.9011065659835185,0.9722222222222222,0.5645161290322581,0.7142857142857143
90,Guitar,227,220,0.8986217014715429,0.8409090909090909,0.8149779735682819,0.8277404921700223
6,Applause,72,56,0.8967048824759045,0.875,0.6805555555555556,0.765625
91,Gull_and_seagull,12,4,0.8927272727272728,1.0,0.3333333333333333,0.5
147,Shatter,64,47,0.8927219354857625,0.9361702127659575,0.6875,0.7927927927927928
